"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Adder","thrpt",20,10,261219085.673850,3356374.717178,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Adder:getAdder","thrpt",20,10,3246168.591742,333286.468906,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Adder:incAdder","thrpt",20,10,257972917.082108,3525065.607611,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Atomic","thrpt",20,10,47570433.739190,1341612.105813,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Atomic:getAtomic","thrpt",20,10,3532290.813629,1386040.316935,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Atomic:incAtomic","thrpt",20,10,44038142.925560,314216.857731,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockFair","thrpt",20,10,335363.905209,3833.874884,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockFair:getFairLock","thrpt",20,10,16767.978063,191.308467,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockFair:incFairLock","thrpt",20,10,318595.927146,3642.570306,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockNonFair","thrpt",20,10,51438588.025447,478045.229116,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockNonFair:getNonFairLock","thrpt",20,10,2475270.738582,988170.406748,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockNonFair:incNonFairLock","thrpt",20,10,48963317.286865,1215009.838178,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockFair","thrpt",20,10,339134.967829,4448.146329,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockFair:getFairRWLock","thrpt",20,10,16955.492024,223.623841,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockFair:incFairRWLock","thrpt",20,10,322179.475806,4224.536162,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockNonFair","thrpt",20,10,44966526.457497,835109.359009,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockNonFair:getNonFairRWLock","thrpt",20,10,6220.180239,426.821328,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockNonFair:incNonFairRWLock","thrpt",20,10,44960306.277258,835466.017087,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreFair","thrpt",20,10,341249.122490,2620.492805,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreFair:getFairSemaphore","thrpt",20,10,17062.271157,131.347428,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreFair:incFairSemaphore","thrpt",20,10,324186.851333,2489.149463,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreNonFair","thrpt",20,10,36313172.639454,991006.574095,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreNonFair:getNonFairSemaphore","thrpt",20,10,1616187.116548,464117.570068,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreNonFair:incNonFairSemaphore","thrpt",20,10,34696985.522906,987050.283594,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Stamped","thrpt",20,10,51365297.388327,996091.301458,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Stamped:getStamped","thrpt",20,10,2882.097155,694.981827,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Stamped:incStamped","thrpt",20,10,51362415.291172,996713.571070,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.StampedOptimistic","thrpt",20,10,54914822.190370,1284243.843645,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.StampedOptimistic:getOptimisticStamped","thrpt",20,10,2111300.320036,1779468.261062,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.StampedOptimistic:incOptimisticStamped","thrpt",20,10,52803521.870334,703832.990852,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Synchronized","thrpt",20,10,33701054.824389,594745.449615,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Synchronized:getSynchronized","thrpt",20,10,1355963.940716,493699.214172,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Synchronized:incSynchronized","thrpt",20,10,32345090.883673,885084.694503,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SynchronizedMethod","thrpt",20,10,36475529.094406,765607.127887,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SynchronizedMethod:getSynchronizedMethod","thrpt",20,10,1593113.624070,491663.882615,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SynchronizedMethod:incSynchronizedMethod","thrpt",20,10,34882415.470336,738282.869504,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Volatile","thrpt",20,10,70803210.769844,1038149.242497,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Volatile:getVolatile","thrpt",20,10,8927295.713007,1219066.663277,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Volatile:incVolatile","thrpt",20,10,61875915.056837,515759.266620,"ops/s"
